"Kelp.Taxon","X","Authors..Year.","ID","Site","Lat","Long","Management_.OA_MPA_MEARB_Other.","Temporal_Scale","Mean.kelp","Mean.no.Kelp","Mean...one.error.bar.Kelp","Mean...one.error.bar.no.Kelp","Error.Kelp","Error.no.Kelp","Error.Type","Variable","N..Kelp.","N..no.kelp.","Unit.Dimensions","Area..m2.","Notes.on.Type.of.study","Comments","Clearing.Size..m.2.","Time.Until.Resampling..days.","Mean.Depth..m.","Inferred.Mechanism.of.Clearing..experiment_storm_heat.wave_barren_kelp.addition.","Type.of.Study..Experimental_ObservatioNAl.","Observational.Study.Type..Spatial..Temporal.","Single.Species...yes.no.","Total.Abundance...yes.no.","Species.Richness...yes.no.","Biomass...yes.no.","Clearing.Response..algae_barren_kelp.","Survey.Type..quadrat..transect..video..photo..Net.Trap.","Short.Variable.Description","Latititude.in.Decimal.Degrees","Longitude.in.Decimal.Degrees","Juvenile..Adult..Both","sample.unit.area..m.2.","Total.Area.Sampled.per.Treatment..m.2..n.replicate.area.","Mean.kelp.t0","Mean.no.Kelp.t0","Mean...one.error.bar.Kelp.t0","Mean...one.error.bar.no.Kelp.t0","Error.Kelp.t0","Error.no.Kelp.t0","Error.Type.t0","Date.of.t0..dd.mm.yyyy.","Fish.Species","Order","Family","Trophic.level","Trophic.group","Total.Lenght..cm.","Biomass..gr.","Habitat.Association..Benthic.Pelagic.Demersal.","sd_kelp","sd_nokelp","rawLR","LR","VLR","Hedges.G","VHedges.G","Patch","Height..m.","Single.or.Multi.Stipe","Erect.or.Prostrate","Epibiont.Load.Potential","Comment","len","ECOREGION","PROVINCE","REALM"
"Ecklonia radiata",6,"Anderson and Millar (2004)","1","Home",-34.91666667,-174.5333333,"OA","2 Years",296.15,267.45,318.08,378.41,21.93,110.96,"SE","Mean Fish Abundance Year 2",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","yes","no","no","no","transect","Fish abundance",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.3487490874926,350.886329172283,0.101572384944092,0.101572384944091,0.176293101306705,0.108671358946048,0.20029523660638,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",7,"Anderson and Millar (2004)","1","Leigh",-34.91666667,-174.5333333,"OA","2 Years",83.65,215.22,116.53,263.17,32.88,47.95,"SE","Mean Fish Abundance Year 2",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","yes","no","no","no","transect","Fish abundance",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.975689466336,151.631213805074,-0.937771299285481,-0.937771299285481,0.200052020321294,-0.969169284162832,0.223482227534117,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",8,"Anderson and Millar (2004)","1","Hahei",-34.91666667,-174.5333333,"OA","2 Years",213.61,167.1,372.51,189.02,158.9,21.92,"SE","Mean Fish Abundance Year 2",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","yes","no","no","no","transect","Fish abundance",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.485920200756,69.3171263108909,0.244263387018821,0.24426338701882,0.565214964101584,0.124179297635603,0.200385512449032,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",405,"Curley et al. (2002)","45","Sydney (The central coast of News South Wales Australia)",-33.983,151.25,NA,"Between March and September 1998",20.64,67.98,NA,NA,59.5635969,162.8717691,"SD","Total Abundance community per site in each habitat in Sidney",6,6,"","125","Composition and relative abundance of species to provide data on the design of Marine Protected Areas which aim to protect these organisms","Table 1",NA,NA,9,"barren","Observational","Spatial","no","yes","no","no","barren","transect","Total abundance",-33.983,151.25,"Adult",125,1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5635969,162.8717691,-1.15927315353041,-1.15927315353041,2.19185551466374,-0.356223171350204,0.338620622825283,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",406,"Curley et al. (2002)","45","Sydney (The central coast of News South Wales Australia)",-33.983,151.25,NA,"Between March and September 1998",17,18,NA,NA,NA,NA,NA,"Total Richness community per site in each habitat in Sidney",6,6,"","125","Composition and relative abundance of species to provide data on the design of Marine Protected Areas which aim to protect these organisms","Table 1",NA,NA,9,"barren","Observational","Spatial","no","yes","no","no","barren","transect","Total abundance",-33.983,151.25,"Adult",125,1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0540672212702757,-0.0540672212702758,NA,NA,NA,"Single","1","Single","Erect","Low",NA,164,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",41,"Cole et al. (2012)","36","Rurima Shoals (Bay of plenty)",-37.833,176.883,"OA",NA,8.9,26.89,12.38,38.41,3.48,11.52,"SE","N individuals visit",5,5,"2*2m","4","Canopy vs experimental clearing","Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals",100,1,10,"barren","Experimental","Spatial","no","yes","no","no","barren","Transect","N individuals visit",-37.833,176.883,"Both",4,20,"70,00%",NA,NA,NA,"3,00%",NA,"%","03-01-03",NA,NA,NA,NA,NA,NA,NA,NA,7.78151656169927,25.7595031007976,-1.03573344449885,-1.03573344449885,0.294174255754049,-0.853474862296051,0.436420967028563,"Single","1","Single","Erect","Low",NA,9,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",55,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",103.6,24.89,195.68,50.14,92.08,25.25,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Point Count ","Fish abundance",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.08,25.25,1.39628675786738,1.39628675786738,0.345221932877228,1.05240018719459,0.45537730770036,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",56,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",106.8,10.26,204.82,20.65,98.02,10.39,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","250","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Transect","Fish abundance",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.02,10.39,2.25902103576335,2.25902103576335,0.335644831969037,1.25033513472219,0.478166897456037,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",57,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",103.6,64.24,195.68,88,92.08,23.76,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,4,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Point Count ","Fish abundance",-36.283,174.8,"Both",250,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.08,23.76,0.47207077387801,0.472070773878009,0.188146976329751,0.490161671574886,0.46334769246006,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",58,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",106.8,88.23,204.82,193.67,98.02,105.44,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,4,"","250","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Transect","Fish abundance",-36.283,174.8,"Both",250,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.02,105.44,0.189060352562837,0.189060352562837,0.514439983359001,0.162876297421298,0.451473816014537,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",59,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",103.6,134.79,195.68,284.79,92.08,150,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Point Count ","Fish abundance",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.08,150,-0.260966023079881,-0.260966023079881,0.399036651577786,-0.226226584847334,0.402558923384584,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",60,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",106.8,231.55,204.82,418.68,98.02,187.13,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","250","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Transect","Fish abundance",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.02,187.13,-0.768827597195209,-0.768827597195209,0.294861014482666,-0.753891370335093,0.428417609913286,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",61,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",239.49,24.89,486.03,50.14,246.54,25.25,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",6,5,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Point Count ","Fish abundance",-36.283,174.8,"Both",250,1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.54,25.25,2.22882171487632,2.22882171487632,0.365392030328914,1.062798034795,0.41800937861049,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",62,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",143.18,10.26,275.36,20.65,132.18,10.39,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","250","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Transect","Fish abundance",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.18,10.39,2.54980589626489,2.54980589626489,0.338381808365249,1.27981460472862,0.481896271123833,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",63,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",239.49,64.24,486.03,88,246.54,23.76,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",6,4,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Point Count ","Fish abundance",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.54,23.76,1.30460573088695,1.30460573088695,0.208317073781438,0.809410670265964,0.449423948323687,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",64,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",143.18,88.23,275.36,193.67,132.18,105.44,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,4,"","250","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Transect","Fish abundance",-36.283,174.8,"Both",250,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.18,105.44,0.479845213064372,0.479845213064372,0.517176959755213,0.401889845372845,0.458973080434101,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",65,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",239.49,134.79,486.03,284.79,246.54,150,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",6,5,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Point Count ","Fish abundance",-36.283,174.8,"Both",250,1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.54,150,0.571568933929059,0.571568933929059,0.419206749029472,0.457357975795939,0.37617468112231,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",66,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",143.18,231.55,275.36,418.68,132.18,187.13,"SD","Number of individuals of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","250","Abundance of reef fish species in five habitats","Fig. 2(2)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","Transect","Fish abundance",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.18,187.13,-0.478042736693673,-0.478042736693673,0.297597990878878,-0.492413517630379,0.412123553617256,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",192,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2015",2.7,3.58,4.5,3.68,1.8,0.1,"SE","Density of wrasses in fringe vs barrens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(b1)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","transect","Labridae density",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9427400463467,1.09544511501033,-0.213366178475915,-0.213366178475915,0.23714582775963,-0.108491297897777,0.025032695449221,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",193,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2016",2.7,8.45,4.5,10.75,1.8,2.3,"SE","Density of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(b1)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","transect","Labridae density",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9427400463467,25.1952376452376,-0.937681921855472,-0.937681921855472,0.295905965003634,-0.258973001326115,0.025186297265044,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",194,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2017",6.97,4.95,9.66,5.16,2.69,0.21,"SE","Density of wrasses in fringe vs barrens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(b1)",NA,NA,NA,"barren","Observational","Spatial","no","yes","no","no","no","transect","Labridae density",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8366504025959,2.3004347415217,0.292293273244586,0.292293273244585,0.115162511561121,0.165652053005692,0.0250762238962917,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
