...1,Authors (Year),ID,Site,Lat,Long,Management_(OA_MPA_MEARB_Other),Temporal_Scale,Mean kelp,Mean no Kelp,Mean + one error bar Kelp,Mean + one error bar no Kelp,Error Kelp,Error no-Kelp,Error Type,Variable,N (Kelp),N (no-kelp),Unit Dimensions,Area (m2),Notes on Type of study,Comments,Kelp Taxon,Clearing Size (m^2),Time Until Resampling (days),Mean Depth (m),Inferred Mechanism of Clearing (experiment_storm_heat wave_barren_kelp addition),Type of Study (Experimental_ObservatioNAl),"Observational Study Type (Spatial, Temporal)",Single Species? (yes/no),Total Abundance? (yes/no),Species Richness? (yes/no),Biomass? (yes/no),Clearing Response (algae_barren_kelp),"Survey Type (quadrat, transect, video, photo, Net/Trap)",Short Variable Description,Latititude in Decimal Degrees,Longitude in Decimal Degrees,"Juvenile, Adult, Both",sample unit area (m^2),Total Area Sampled per Treatment (m^2: n*replicate area),Mean kelp t0,Mean no Kelp t0,Mean + one error bar Kelp t0,Mean + one error bar no Kelp t0,Error Kelp t0,Error no-Kelp t0,Error Type t0,Date of t0 (dd/mm/yyyy),Fish Species,Order,Family,Trophic level,Trophic group,Total Lenght (cm),Biomass (gr),Habitat Association (Benthic-Pelagic-Demersal)
11,Anderson and Millar (2004),1,Leigh,-34.91666667,174.5333333,OA,2 Years,9.97,7.42,10.36,8.08,0.39,0.66,SE,Mean Fish Species Richness Year 1,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Anderson and Millar (2004),1,Hahei,-34.91666667,174.5333333,OA,2 Years,8.71,12.3,10.32,14.05,1.61,1.75,SE,Mean Fish Species Richness Year 1,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Anderson and Millar (2004),1,Bergham,-34.91666667,174.5333333,OA,2 Years,13.59,11.55,14.96,12.31,1.37,0.76,SE,Mean Fish Species Richness Year 2,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Anderson and Millar (2004),1,Home,-34.91666667,174.5333333,OA,2 Years,17.28,12.07,18.27,13.5,0.99,1.43,SE,Mean Fish Species Richness Year 2,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Anderson and Millar (2004),1,Leigh,-34.91666667,174.5333333,OA,2 Years,10.01,10.33,11.28,11.04,1.27,0.71,SE,Mean Fish Species Richness Year 2,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Anderson and Millar (2004),1,Hahei,-34.91666667,174.5333333,OA,2 Years,11.05,16.25,13.74,16.54,2.69,0.29,SE,Mean Fish Species Richness Year 2,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Siddon et al. (2008),2,Inside passage of southeastern Alaska 1,58.381,-134.646,OA,July 2003-March2004,5.82,37.86,9.16,49.7,3.34,11.84,2SE,Fish abundance,10,10,1*20,20,Nereocystis luetkeana vs No Canopy,Fig. 4,Nereocystis luetkeana,1500,30,7,Experiment,Experimental,Temporal,no,yes,no,no,Kelp,transect,Fish assemblage,58.381,-134.646,Both,20,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Siddon et al. (2008),2,Inside passage of southeastern Alaska 2,58.381,-134.646,OA,July 2003-March2004,0.25,0.12,0.3,0.2,0.05,0.08,2SE,Fish abundance,10,10,2m3,2,Nereocystis luetkeana vs No Canopy,Fig. 4,Nereocystis luetkeana,1500,30,7,Experiment,Experimental,Temporal,no,yes,no,no,Kelp,transect,Fish assemblage,58.381,-134.646,Both,20,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Siddon et al. (2008),2,Inside passage of southeastern Alaska 3,58.381,-134.646,OA,July 2003-March2004,1.185,0.29,1.64,0.405,2.095,0.52,2SE,Fish Biomass,12,12,g,g/ Smurf,Nereocystis luetkeana vs No Canopy,Fig.3B  Smurf: (1.0 x 0.35 m dia.) combined depth,Nereocystis luetkeana,1500,30,7,Experiment,Experimental,Temporal,no,no,no,yes,Kelp,SMURF/light trap,Fish assemblage juvenile biomass,58.381,-134.646,Juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Siddon et al. (2008),2,Inside passage of southeastern Alaska 4,58.381,-134.646,OA,July 2003-March2004,0.48,0.11,0.75,0.44,1.02,0.77,2SE,Fish Biomass,6,6,g,g/ Smurf,Nereocystis luetkeana vs No Canopy,Fig.3B  Smurf: (1.0 x 0.35 m dia.) combined depth,Nereocystis luetkeana,1500,30,7,Experiment,Experimental,Temporal,no,no,no,yes,Kelp,SMURF/light trap,Fish assemblage juvenile biomass,58.381,-134.646,Juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Siddon et al. (2008),2,Inside passage of southeastern Alaska 5,58.381,-134.646,OA,July 2003-March2004,0.705,0.385,0.865,0.505,1.025,0.625,2SE,Fish abundance,12,12,by Smurf,/Smurf,Nereocystis luetkeana vs No Canopy,Fig. 3A combined depth,Nereocystis luetkeana,1500,30,7,Experiment,Experimental,Temporal,no,yes,no,no,Kelp,SMURF/light trap,Fish assemblage juvenile,58.381,-134.646,Juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Siddon et al. (2008),2,Inside passage of southeastern Alaska 6,58.381,-134.646,OA,July 2003-March2004,0.2915,0.085,0.42,0.165,0.5485,0.245,2SE,Fish abundance,6,6,by Smurf,/Smurf,Nereocystis luetkeana vs No Canopy,Fig. 3A combined depth,Nereocystis luetkeana,1500,30,7,Experiment,Experimental,Temporal,no,yes,no,no,Kelp,SMURF/light trap,Fish assemblage juvenile,58.381,-134.646,Juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Cole et al. (2012),36,Bay of plenty,-38,177,OA,NA,0.84,1.12,0.96,1.91,0.24,1.58,SD,Notolabrus celidotus abundance,246,5,4*30 m,120,ObservatioNAl,Fig. 4A,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,yes,no,no,no,no,transect,Notolabrus celidotus abundance,-38,177,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-02,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,3812,Demersal
24,Cole et al. (2012),36,Bay of plenty,-38,177,OA,NA,17.74,14.38,19.48,19.65,3.48,10.54,SD,Chromis dispilus abundance,246,5,4*30 m,120,ObservatioNAl,Fig. 4A,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,yes,no,no,no,no,transect,Chromis dispilus abundance,-38,177,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-02,Chromis dispilus,Ovalentaria,Pomacentridae,"3,01",Planktivore,21,"154,001785",Pelagic
25,Cole et al. (2012),36,Bay of plenty,-38,177,OA,NA,0.56,1.93,0.62,3.3,0.12,2.74,SD,Parma alboscapularis,246,5,4*30 m,120,ObservatioNAl,Fig. 4A,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,yes,no,no,no,no,transect,Parma alboscapularis,-38,177,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-02,Parma alboscapularis,Ovalentaria,Pomacentridae,2,Herbivore,22,NA,Demersal
26,Cole et al. (2012),36,Bay of plenty,-38,177,OA,NA,0.94,1.6,1.1,1.95,0.32,0.7,SD,Cheilodactylus spectabilis abundance,246,5,4*30 m,120,ObservatioNAl,Fig. 4A,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,yes,no,no,no,no,transect,Cheilodactylus spectabilis abundance,-38,177,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-02,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
27,Cole et al. (2012),36,Bay of plenty,-38,177,OA,NA,4.19,4.36,4.37,5.02,0.36,1.32,SD,Number of species,246,5,4*30 m,120,ObservatioNAl,Fig. 4A,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-38,177,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-02,NA,NA,NA,NA,NA,NA,NA,NA
28,Cole et al. (2012),36,Port Hardy (Western Cook Strait),-41,173,OA,NA,2.28,0,3.02,0,1.48,0,SD,Parika scaber abundance,110,144,4*30 m,120,ObservatioNAl,Fig. 4B,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,yes,no,no,no,no,transect,Parika scaber abundance,-41,173,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-01,Meuschenia scaber,Tetraodontiformes,Monacanthidae,"2,95",invertivore,31,NA,Demersal
29,Cole et al. (2012),36,Port Hardy (Western Cook Strait),-41,173,OA,NA,1.13,0,1.39,0,0.52,0,SD,Odax pullus abundance,110,144,4*30 m,120,ObservatioNAl,Fig. 4B,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,yes,no,no,no,no,transect,Odax pullus abundance,-41,173,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-01,Odax pullus,Eupercaria,Odacidae,"2,1",Herbivore,40,1500,Demersal
30,Cole et al. (2012),36,Port Hardy (Western Cook Strait),-41,173,OA,NA,2.42,5.34,3.02,5.77,1.2,0.86,SD,Parapercis colias abundance,110,144,4*30 m,120,ObservatioNAl,Fig. 4B,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,yes,no,no,no,no,transect,Parapercis colias abundance,-41,173,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-01,Parapercis colias,Perciformes,Pinguipedidae,"3,87",Carnivore,45,2500,Demersal
31,Cole et al. (2012),36,Port Hardy (Western Cook Strait),-41,173,OA,NA,28.72,17.12,31.73,18.58,6.02,2.92,SD,Notolabrus celidotus abundance,110,144,4*30 m,120,ObservatioNAl,Fig. 4B,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,yes,no,no,no,no,transect,Notolabrus celidotus abundance,-41,173,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-01,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,3812,Demersal
32,Cole et al. (2012),36,Port Hardy (Western Cook Strait),-41,173,OA,NA,0,0.59,0,1.22,0,1.26,SD,Nemadactylus macropterus abundance,110,144,4*30 m,120,ObservatioNAl,Fig. 4B,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,yes,no,no,no,no,transect,Nemadactylus macropterus abundance,-41,173,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-01,Nemadactylus macropterus,Centrarchiformes,Latridae,"3,41",invertivore,70,2900,Demersal
33,Cole et al. (2012),36,Port Hardy (Western Cook Strait),-41,173,OA,NA,3.11,2.34,3.28,2.42,0.34,0.16,SD,Species Richness,110,144,4*30 m,120,ObservatioNAl,Fig. 4B,"Carpophyllum flexuosum, Ecklonia radiata",NA,NA,12,Barren vs. Kelp,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-41,173,Both,120,960,NA,NA,NA,NA,NA,NA,NA,02-01-01,NA,NA,NA,NA,NA,NA,NA,NA
34,Cole et al. (2012),36,Rurima Shoals (Bay of plenty),-37.833,176.883,OA,NA,0,5.6,0,7.37,0,3.54,SE,Cheilodactylus spectabilis visit,2,2,2*2m,4,Canopy vs experimental clearing,Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals,Ecklonia radiata,100,1,10,Barren vs. Kelp,Experimental,Spatial,yes,no,no,no,barren,Transect,Cheilodactylus spectabilis visit,-37.833,176.883,Both,4,20,"70,00%",NA,NA,NA,"3,00%",NA,%,03-01-03,Cheilodactylus spectabilis,Centrarchiformes,Cheilodactylidae,"3,23",invertivore,100,"15209,6767",Demersal
35,Cole et al. (2012),36,Rurima Shoals (Bay of plenty),-37.833,176.883,OA,NA,8.33,5.06,12,6.44,3.67,1.38,SE,Notolabrus celidotus visit,2,2,2*2m,4,Canopy vs experimental clearing,Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals,Ecklonia radiata,100,1,10,Barren vs. Kelp,Experimental,Spatial,yes,no,no,no,barren,Transect,Notolabrus celidotus visit,-37.833,176.883,Both,4,20,"70,00%",NA,NA,NA,"3,00%",NA,%,03-01-03,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,24,NA,Demersal
36,Cole et al. (2012),36,Rurima Shoals (Bay of plenty),-37.833,176.883,OA,NA,0,0.79,0,1.29,0,0.5,SE,Notolabrus fucicola visit,2,2,2*2m,4,Canopy vs experimental clearing,Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals,"Ecklonia radiata
",100,1,10,Barren vs. Kelp,Experimental,Spatial,yes,no,no,no,barren,Transect,Notolabrus fucicola visit,-37.833,176.883,Both,4,20,"70,00%",NA,NA,NA,"3,00%",NA,%,03-01-03,Notolabrus fucicola,Perciformes,Labridae,"3,43",invertivore,38,"769,7451883",Demersal
37,Cole et al. (2012),36,Rurima Shoals (Bay of plenty),-37.833,176.883,OA,NA,0.31,2.3,0.51,3.99,0.2,1.69,SE,Parika scaber visit,2,2,2*2m,4,Canopy vs experimental clearing,Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals,Ecklonia radiata,100,1,10,Barren vs. Kelp,Experimental,Spatial,yes,no,no,no,barren,Transect,Parika scaber visit,-37.833,176.883,Both,4,20,"70,00%",NA,NA,NA,"3,00%",NA,%,03-01-03,Meuschenia scaber,Tetraodontiformes,Monacanthidae,"2,95",invertivore,31,NA,Demersal
38,Cole et al. (2012),36,Rurima Shoals (Bay of plenty),-37.833,176.883,OA,NA,0,1.91,0,3,0,1.09,SE,Chromis dispilus visit,2,2,2*2m,4,Canopy vs experimental clearing,Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals,Ecklonia radiata,100,1,10,Barren vs. Kelp,Experimental,Spatial,yes,no,no,no,barren,Transect,Chromis dispilus visit,-37.833,176.883,Both,4,20,"70,00%",NA,NA,NA,"3,00%",NA,%,03-01-03,Chromis dispilus,Ovalentaria,Pomacentridae,"3,01",Planktivore,21,"154,001785",Pelagic
39,Cole et al. (2012),36,Rurima Shoals (Bay of plenty),-37.833,176.883,OA,NA,0,1.03,0,1.82,0,0.79,SE,Chironemus marmoratus visit,2,2,2*2m,4,Canopy vs experimental clearing,Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals,Ecklonia radiata,100,1,10,Barren vs. Kelp,Experimental,Spatial,yes,no,no,no,barren,Transect,Chironemus marmoratus visit,-37.833,176.883,Both,4,20,"70,00%",NA,NA,NA,"3,00%",NA,%,03-01-03,Chironemus marmoratus,Centrarchiformes,Chironemidae,"3,46",Invertivore,40,"719,8289949",Demersal
40,Cole et al. (2012),36,Rurima Shoals (Bay of plenty),-37.833,176.883,OA,NA,0.45,11.38,0.65,20.72,0.2,9.34,SE,Scorpis lineolatus visit,2,2,2*2m,4,Canopy vs experimental clearing,Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals,Ecklonia radiata,100,1,10,Barren vs. Kelp,Experimental,Spatial,yes,no,no,no,barren,Transect,Scorpis lineolatus visit,-37.833,176.883,Both,4,20,"70,00%",NA,NA,NA,"3,00%",NA,%,03-01-03,Scorpis lineolata,Centrarchiformes,Scorpididae,"3,3",Planktivore,30,"327,1725002",Demersal
41,Cole et al. (2012),36,Rurima Shoals (Bay of plenty),-37.833,176.883,OA,NA,8.9,26.89,12.38,38.41,3.48,11.52,SE,N individuals visit,5,5,2*2m,4,Canopy vs experimental clearing,Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals,Ecklonia radiata,100,1,10,Barren vs. Kelp,Experimental,Spatial,no,yes,no,no,barren,Transect,N individuals visit,-37.833,176.883,Both,4,20,"70,00%",NA,NA,NA,"3,00%",NA,%,03-01-03,NA,NA,NA,NA,NA,NA,NA,NA
42,Cole et al. (2012),36,Rurima Shoals (Bay of plenty),-37.833,176.883,OA,NA,1.37,4.54,1.66,5.83,0.29,1.29,SE,N species visit,2,2,2*2m,4,Canopy vs experimental clearing,Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals,Ecklonia radiata,100,1,10,Barren vs. Kelp,Experimental,Spatial,no,no,yes,no,barren,Transect,Species Richness,-37.833,176.883,Both,4,20,"70,00%",NA,NA,NA,"3,00%",NA,%,03-01-03,NA,NA,NA,NA,NA,NA,NA,NA
43,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,10.48,1.24,13.33,1.68,2.85,0.44,SD,Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 2(1),Ecklonia radiata,NA,NA,"10,375",barren,Observational,Spatial,no,no,yes,no,no,Point Count,Species Richness,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,12.85,1.04,15.58,1.72,2.73,0.68,SD,Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,5,NA,250,Abundance of reef fish species in five habitats,Fig. 2(1),Ecklonia radiata,NA,NA,"10,375",barren,Observational,Spatial,no,no,yes,no,no,Transect,Species Richness,-36.283,174.8,Both,250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,10.48,7.11,13.33,9.64,2.85,2.53,SD,Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,"78,5",Abundance of reef fish species in five habitats,Fig. 2(1),Ecklonia radiata,NA,NA,"6,75",barren,Observational,Spatial,no,no,yes,no,no,Point Count,Species Richness,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Williams et al. (2008),44,Cape Rodney- Okakari Point Marine Reserve New Zealand,-36.283,174.8,MR,10-week period during the winter months of June to August 2006,12.85,10.6,15.58,13.94,2.73,3.34,SD,Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).,5,4,NA,250,Abundance of reef fish species in five habitats,Fig. 2(1),Ecklonia radiata,NA,NA,"6,75",barren,Observational,Spatial,no,no,yes,no,no,Transect,Species Richness,-36.283,174.8,Both,250,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
