"Kelp.Taxon","X","Authors..Year.","ID","Site","Lat","Long","Management_.OA_MPA_MEARB_Other.","Temporal_Scale","Mean.kelp","Mean.no.Kelp","Mean...one.error.bar.Kelp","Mean...one.error.bar.no.Kelp","Error.Kelp","Error.no.Kelp","Error.Type","Variable","N..Kelp.","N..no.kelp.","Unit.Dimensions","Area..m2.","Notes.on.Type.of.study","Comments","Clearing.Size..m.2.","Time.Until.Resampling..days.","Mean.Depth..m.","Inferred.Mechanism.of.Clearing..experiment_storm_heat.wave_barren_kelp.addition.","Type.of.Study..Experimental_ObservatioNAl.","Observational.Study.Type..Spatial..Temporal.","Single.Species...yes.no.","Total.Abundance...yes.no.","Species.Richness...yes.no.","Biomass...yes.no.","Clearing.Response..algae_barren_kelp.","Survey.Type..quadrat..transect..video..photo..Net.Trap.","Short.Variable.Description","Latititude.in.Decimal.Degrees","Longitude.in.Decimal.Degrees","Juvenile..Adult..Both","sample.unit.area..m.2.","Total.Area.Sampled.per.Treatment..m.2..n.replicate.area.","Mean.kelp.t0","Mean.no.Kelp.t0","Mean...one.error.bar.Kelp.t0","Mean...one.error.bar.no.Kelp.t0","Error.Kelp.t0","Error.no.Kelp.t0","Error.Type.t0","Date.of.t0..dd.mm.yyyy.","Fish.Species","Order","Family","Trophic.level","Trophic.group","Total.Lenght..cm.","Biomass..gr.","Habitat.Association..Benthic.Pelagic.Demersal.","sd_kelp","sd_nokelp","rawLR","LR","VLR","Hedges.G","VHedges.G","Patch","Height..m.","Single.or.Multi.Stipe","Erect.or.Prostrate","Epibiont.Load.Potential","Comment","len","ECOREGION","PROVINCE","REALM"
"Ecklonia radiata",14,"Anderson and Millar (2004)","1","Home",-34.91666667,-174.5333333,"OA","2 Years",17.28,12.07,18.27,13.5,0.99,1.43,"SE","Mean Fish Species Richness Year 2",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1306548835667,4.52205705404078,0.335488038389873,0.335488038389873,0.0149037774261763,1.28290714617036,0.241146268642374,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",15,"Anderson and Millar (2004)","1","Leigh",-34.91666667,-174.5333333,"OA","2 Years",10.01,10.33,11.28,11.04,1.27,0.71,"SE","Mean Fish Species Richness Year 2",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01609262841384,2.24521713871955,-0.0286501243053268,-0.0286501243053264,0.0172325127803613,-0.0941910720241016,0.200221798951226,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",16,"Anderson and Millar (2004)","1","Hahei",-34.91666667,-174.5333333,"OA","2 Years",11.05,16.25,13.74,16.54,2.69,0.29,"SE","Mean Fish Species Richness Year 2",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.50652690585294,0.91706052144883,-0.358747483540705,-0.358747483540705,0.0501171711159409,-0.823117927434921,0.216938078061619,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",42,"Cole et al. (2012)","36","Rurima Shoals (Bay of plenty)",-37.833,176.883,"OA",NA,1.37,4.54,1.66,5.83,0.29,1.29,"SE","N species visit",2,2,"2*2m","4","Canopy vs experimental clearing","Fig 7A. number of visits by fish in a 2X2m area during two 10 minute observation intervals",100,1,10,"barren","Experimental","Spatial","no","no","yes","no","barren","Transect","Species Richness",-37.833,176.883,"Both",4,20,"70,00%",NA,NA,NA,"3,00%",NA,"%","03-01-03",NA,NA,NA,NA,NA,NA,NA,NA,0.410121933088198,1.82433549546129,-0.849104545612153,-0.849104545612153,0.069192718937476,-1.35266037495094,1.2287112612453,"Single","1","Single","Erect","Low",NA,9,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",43,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",10.48,1.24,13.33,1.68,2.85,0.44,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Point Count ","Species Richness",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,0.44,1.63413052502447,1.63413052502447,0.0200432277313067,4.09046012933505,1.23659320348399,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",44,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",12.85,1.04,15.58,1.72,2.73,0.68,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","250","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Transect","Species Richness",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73,0.68,1.91533542477722,1.91533542477722,0.0299928434997053,5.35890738994933,1.83589442070268,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",45,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",10.48,7.11,13.33,9.64,2.85,2.53,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,4,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Point Count ","Species Richness",-36.283,174.8,"Both",250,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,2.53,0.347508522764099,0.347508522764099,0.0366562360220871,1.10147971387435,0.517403197782041,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",46,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",12.85,10.6,15.58,13.94,2.73,3.34,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,4,"","250","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Transect","Species Richness",-36.283,174.8,"Both",250,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73,3.34,0.177280134521029,0.177280134521028,0.028496691432061,0.664685161983227,0.474544798031148,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",47,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",10.48,5.66,13.33,6.78,2.85,1.12,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Point Count ","Species Richness",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,1.12,0.544486906339123,0.544486906339123,0.0179824975536203,2.00945109089621,0.601894684335199,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",48,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",12.85,7.23,15.58,9.84,2.73,2.61,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","250","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Transect","Species Richness",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73,2.61,0.520499217944369,0.520499217944369,0.0278852184673273,1.89959261148416,0.580422604480261,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",49,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",10.6,1.24,15.27,1.68,4.67,0.44,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",6,5,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Point Count ","Species Richness",-36.283,174.8,"Both",250,1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67,0.44,1.64452923224537,1.64452923224537,0.0347294457319194,2.44875482257837,0.63923031126216,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",50,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",14.26,1.04,16.71,1.72,2.45,0.68,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","250","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Transect","Species Richness",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,0.68,2.01228521800019,2.01228521800019,0.0273775121809799,6.63759260941196,2.60288178242601,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",51,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",10.6,7.11,15.27,9.64,4.67,2.53,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",6,4,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Point Count ","Species Richness",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67,2.53,0.357907229984998,0.357907229984997,0.0513424540226999,0.78684922383865,0.447623251719441,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",52,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",14.26,10.6,16.71,13.94,2.45,3.34,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,4,"","250","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Transect","Species Richness",-36.283,174.8,"Both",250,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,3.34,0.274229927743992,0.274229927743992,0.0258813601133356,1.1344778096024,0.521502216693347,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",53,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",10.6,5.66,15.27,6.78,4.67,1.12,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",6,5,"","78,5","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Point Count ","Species Richness",-36.283,174.8,"Both",250,1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67,1.12,0.554885613560021,0.554885613560021,0.032668715554233,1.26813143325956,0.439764727213073,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",54,"Williams et al. (2008)","44","Cape Rodney- Okakari Point Marine Reserve New Zealand",-36.283,174.8,"MR","10-week period during the winter months of June to August 2006",14.26,7.23,16.71,9.84,2.45,2.61,"SD","Number of reef fish species in five habitats using point counts 25 min (closed bars) and timed searches (open bars).",5,5,"","250","Abundance of reef fish species in five habitats","Fig. 2(1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","Transect","Species Richness",-36.283,174.8,"Both",250,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,2.61,0.617449011167333,0.617449011167332,0.0252698871486019,2.5070491133478,0.714264762836899,"Single","1","Single","Erect","Low",NA,133,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",172,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2005",1.33,2.05,1.48,2.09,0.15,0.04,"SE","Species richness of wrasses in fringe vs barrens ",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16189500386223,0.438178046004133,-0.269273323041711,-0.269273323041711,0.00431648276669782,-0.944817713704029,0.027479668089247,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",173,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2006",1.33,3.04,1.48,3.04,0.15,0,"SE","Species richness of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16189500386223,0,-0.550376424395449,-0.55037642439545,0.00414448599163735,-2.54551960653059,0.042999083520088,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",174,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2007",2.43,2.5,2.53,2.5,0.1,0,"SE","Species richness of wrasses in fringe vs barrens ",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774596669241483,0,-0.0202027073175195,-0.0202027073175194,0.000849985975231409,-0.15630383548872,0.0250678635805236,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",175,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2008",2.43,2.9,2.53,3.14,0.1,0.24,"SE","Species richness of wrasses in fringe barrens and sponge gardens",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774596669241483,2.6290682760248,-0.128416291957752,-0.128416291957752,0.00463696822375212,-0.213179609864705,0.0251262376279502,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
"Ecklonia radiata",176,"Morton and Gladstone (2011)","42","Terrigal. Central coast of New South Wales (NSW) Australia.",-33.45,151.45,"OA","Between August 2003 and May 2009",2.24,2.4,2.29,2.49,0.05,0.09,"SE","Species richness of wrasses in fringe vs barrens ",60,120,"","125","Distinct rocky-reef habitats are occupied by different wrasse assemblages and that these habitat associations vary temporally","Fig. 2(a1)",NA,NA,NA,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-33.45,151.45,"Both",125,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387298334620742,0.985900603509299,-0.0482021018178775,-0.0482021018178776,0.000938841713828542,-0.190492175031338,0.0251007979687449,"Single","1","Single","Erect","Low",NA,75,"Manning-Hawkesbury","East Central Australian Shelf","Temperate Australasia"
